Peter,2:5:7:9,15:32:46:72
Mike,3:8:12:85:92,8:14
Joe,77:55:38:25:60:30:72,2:81:51:36:63:44:57
Steve,65:92:1:59:78:39:42,19:55:60:31:12:3:46
Jack,51:14:66:41:22:90:78,75:15:63:69:33:39:34
Dave,70:50:20:17:54:30:71,77:43:7:75:44:97:18
Asd,6:63:72:58:11:4:1,92:76:84:96:31:94:39
,82:56:17:46:78:50:29,66:14:32:44:96:89:47
asd,13,11
wqe,65:77:25:55:98:2:70,83:66:57:62:85:92:50
zxcc,1,30:58:67:92:8
kbjsa,75:73:17:88:80:13:36,61:19:39:95:29:46:86
bfdbf,12:55:43:3:76:25:88,74:35:32:15:80:40:5
afdbadf,38:34:59:60:37:21,23:8:88:96:93:64:33
adbfadb,17:3:34:22:20:33:84,95:60:9:38:25:67
dfabadfb,34:40:16:75:79:73:54,97:19:7:4:11:50:20
